subject_code_1;subject_code_2;popularity_score
05.558;05.611;0.000582
05.558;05.613;0.003454
05.558;05.614;0.004073
05.558;05.615;0.002827
05.558;05.616;0.005204
05.558;22.400;0.009168
05.559;05.554;0.000111
05.559;05.555;0.002122
05.559;05.556;0.001126
05.559;05.557;0.000823
05.559;05.558;0.002642
05.559;05.559;0
05.559;05.560;0.000324
05.559;05.561;0.000388
05.559;05.562;0.000173
05.559;05.563;0.000325
05.559;05.564;0.001105
05.559;05.565;0.000509
05.559;05.566;0.001132
05.559;05.567;0.001705
05.559;05.568;0.000832
05.559;05.569;0.001407
05.559;05.570;0.000309
05.559;05.571;0.000937
05.559;05.572;0.001714
05.559;05.573;0.000681
05.559;05.574;0.006182
05.559;05.575;0.001352
05.559;05.576;0.012043
05.559;05.577;0.007478
05.559;05.578;0.018835
05.559;05.579;0.012807
05.559;05.580;0.006779
05.559;05.581;0.012057
05.559;05.582;0.000955
05.559;05.583;0.009102
05.559;05.584;0.003701
05.559;05.585;0.001323
05.559;05.586;0.003004
05.559;05.587;0.00396
05.559;05.588;0.003911
05.559;05.589;0.001401
05.559;05.590;0.00102
05.559;05.591;0.006813
05.559;05.592;0.02321
05.559;05.593;0.003919
05.559;05.594;0.009368
05.559;05.595;0.003518
05.559;05.596;0.004471
05.559;05.597;0.00449
05.559;05.598;0.009374
05.559;05.599;0.007723
05.559;05.600;0.006132
05.559;05.601;0.012082
05.559;05.604;0.005032
05.559;05.607;0.005807
05.559;05.611;0.001133
05.559;05.613;0.004582
05.559;05.614;0.000232
05.559;05.615;0.003139
05.559;05.616;0.002171
05.559;22.400;0.014934
05.560;05.554;0.000156
05.560;05.555;0.001383
05.560;05.556;0.003067
05.560;05.557;0.000939
05.560;05.558;0.011393
05.560;05.559;0.00122
05.560;05.560;0
05.560;05.561;0.001848
05.560;05.562;0.000653
05.560;05.563;0.000773
05.560;05.564;0.001089
05.560;05.565;0.000997
05.560;05.566;0.00137
05.560;05.567;0.001688
05.560;05.568;0.00099
05.560;05.569;0.001199
05.560;05.570;0.00073
05.560;05.571;0.000949
05.560;05.572;0.001773
05.560;05.573;0.000798
05.560;05.574;0.004845
05.560;05.575;0.001727
05.560;05.576;0.005295
05.560;05.577;0.014973
05.560;05.578;0.014824
05.560;05.579;0.009589
05.560;05.580;0.009961
05.560;05.581;0.007315
05.560;05.582;0.001567
05.560;05.583;0.008927
05.560;05.584;0.004214
05.560;05.585;0.001751
05.560;05.586;0.00262
05.560;05.587;0.002968
05.560;05.588;0.003626
05.560;05.589;0.001186
05.560;05.590;0.001226
05.560;05.591;0.005628
05.560;05.592;0.019446
05.560;05.593;0.003347
05.560;05.594;0.015148
05.560;05.595;0.003219
05.560;05.596;0.003172
05.560;05.597;0.003572
05.560;05.598;0.005576
05.560;05.599;0.004064
05.560;05.600;0.006097
05.560;05.601;0.007216
05.560;05.604;0.003855
05.560;05.607;0.006445
05.560;05.611;0.000999
05.560;05.613;0.005379
05.560;05.614;0.001492
05.560;05.615;0.003313
05.560;05.616;0.000698
05.560;22.400;0.012313
05.561;05.554;0.029607
05.561;05.555;0.062725
05.561;05.556;0.038806
05.561;05.557;0.020843
05.561;05.558;0.111996
05.561;05.559;0.147889
05.561;05.560;0.005195
05.561;05.561;0
05.561;05.562;0.000181
05.561;05.563;0.000358
05.561;05.564;0.001151
05.561;05.565;0.000435
05.561;05.566;0.001407
05.561;05.567;0.000931
05.561;05.568;0.001465
05.561;05.569;0.002935
05.561;05.570;0.000327
05.561;05.571;0.001747
05.561;05.572;0.002294
05.561;05.573;0.001301
05.561;05.574;0.007531
05.561;05.575;0.001255
05.561;05.576;0.02808
05.561;05.577;0.040399
05.561;05.578;0.056467
05.561;05.579;0.025257
05.561;05.580;0.032996
05.561;05.581;0.062704
05.561;05.582;0.003361
05.561;05.583;0.052163
05.561;05.584;0.011202
05.561;05.585;0.001952
05.561;05.586;0.008653
05.561;05.587;0.024412
05.561;05.588;0.033334
05.561;05.589;0.004679
05.561;05.590;0.001163
05.561;05.591;0.003709
05.561;05.592;0.041625
05.561;05.593;0.014009
05.561;05.594;0.052036
05.561;05.595;0.002281
05.561;05.596;0.00455
05.561;05.597;0.025403
05.561;05.598;0.022209
05.561;05.599;0.036571
05.561;05.600;0.035184
05.561;05.601;0.019877
05.561;05.604;0.011608
05.561;05.607;0.029468
05.561;05.611;0.001341
05.561;05.613;0.00864
05.561;05.614;0.000459
05.561;05.615;0.001312
05.561;05.616;0.042974
05.561;22.400;0.008106
05.562;05.554;0.041973
05.562;05.555;0.02812
05.562;05.556;0.001849
05.562;05.557;0.014762
05.562;05.558;0.052848
05.562;05.559;0.065812
05.562;05.560;0.011758
05.562;05.561;0.00127
05.562;05.562;0
05.562;05.563;0.00015
05.562;05.564;0.000803
05.562;05.565;0.000265
05.562;05.566;0.001667
05.562;05.567;0.001477
05.562;05.568;0.00048
05.562;05.569;0.000805
05.562;05.570;0.000109
05.562;05.571;0.00059
05.562;05.572;0.002221
05.562;05.573;0.001351
05.562;05.574;0.014017
05.562;05.575;0.001435
05.562;05.576;0.020381
05.562;05.577;0.071792
05.562;05.578;0.032086
05.562;05.579;0.020249
05.562;05.580;0.047793
05.562;05.581;0.052404
05.562;05.582;0.002036
05.562;05.583;0.070893
05.562;05.584;0.014988
05.562;05.585;0.001422
05.562;05.586;0.006709
05.562;05.587;0.026445
05.562;05.588;0.023567
05.562;05.589;0.002979
05.562;05.590;0.000518
05.562;05.591;0.004011
05.562;05.592;0.112748
05.562;05.593;0.005024
05.562;05.594;0.028107
05.562;05.595;0.003764
05.562;05.596;0.004532
05.562;05.597;0.010598
05.562;05.598;0.01392
05.562;05.599;0.016026
05.562;05.600;0.010763
05.562;05.601;0.021067
05.562;05.604;0.008094
05.562;05.607;0.010005
05.562;05.611;0.000594
05.562;05.613;0.007644
05.562;05.614;0.000109
05.562;05.615;0.002624
05.562;05.616;0.017757
05.562;22.400;0.005102
05.563;05.554;0.003531
05.563;05.555;0.260765
05.563;05.556;0.011162
05.563;05.557;0.051841
05.563;05.558;0.003068
05.563;05.559;0.004612
05.563;05.560;0.023515
05.563;05.561;0.02987
05.563;05.562;0.027331
05.563;05.563;0
05.563;05.564;0.000589
05.563;05.565;8.5e-05
05.563;05.566;0.000832
05.563;05.567;0.001056
05.563;05.568;0.000662
05.563;05.569;0.00091
05.563;05.570;9.4e-05
05.563;05.571;0.000407
05.563;05.572;0.001287
05.563;05.573;0.000313
05.563;05.574;0.0103
05.563;05.575;0.000965
05.563;05.576;0.015254
05.563;05.577;0.010937
05.563;05.578;0.019566
05.563;05.579;0.009434
05.563;05.580;0.014452
05.563;05.581;0.018722
05.563;05.582;0.000915
05.563;05.583;0.051354
05.563;05.584;0.005031
05.563;05.585;0.000946
05.563;05.586;0.004633
05.563;05.587;0.010996
05.563;05.588;0.013083
05.563;05.589;0.001451
05.563;05.590;0.00044
05.563;05.591;0.00606
05.563;05.592;0.075281
05.563;05.593;0.004306
05.563;05.594;0.015188
05.563;05.595;0.003104
05.563;05.596;0.004119
05.563;05.597;0.008902
05.563;05.598;0.012089
05.563;05.599;0.01358
05.563;05.600;0.015058
05.563;05.601;0.015441
05.563;05.604;0.004503
05.563;05.607;0.007048
05.563;05.611;0.000834
05.563;05.613;0.005203
05.563;05.614;0.000105
05.563;05.615;0.003962
05.563;05.616;0.008109
05.563;22.400;0.00196
05.564;05.554;0.03667
05.564;05.555;0.027527
05.564;05.556;0.029425
05.564;05.557;0.051652
05.564;05.558;0.000879
05.564;05.559;0.01328
05.564;05.560;0.000169
05.564;05.561;0.001602
05.564;05.562;0.052259
05.564;05.563;0.010444
05.564;05.564;0
05.564;05.565;0.000651
05.564;05.566;0.000437
05.564;05.567;0.000746
05.564;05.568;0.000954
05.564;05.569;0.000457
05.564;05.570;0.000609
05.564;05.571;0.000841
05.564;05.572;0.001535
05.564;05.573;0.000418
05.564;05.574;0.007857
05.564;05.575;0.001072
05.564;05.576;0.009522
05.564;05.577;0.035099
05.564;05.578;0.019083
05.564;05.579;0.010696
05.564;05.580;0.021568
05.564;05.581;0.031593
