subject_code_1;subject_code_2;popularity_score
05.565;05.554;0.010363
05.565;05.555;0.007452
05.565;05.556;0.008881
05.565;05.557;0.013298
05.565;05.558;0.018484
05.565;05.559;0.005192
05.565;05.560;0.006536
05.565;05.561;0.014599
05.565;05.562;0.006707
05.565;05.563;0.005734
05.565;05.564;0.014859
05.565;05.565;0
05.565;05.566;0.017606
05.565;05.567;0.006868
05.565;05.568;0.015823
05.565;05.569;0.019157
05.565;05.570;0.005353
05.565;05.571;0.018939
05.565;05.572;0.021645
05.565;05.573;0.01385
05.565;05.574;0.041494
05.565;05.575;0.017301
05.565;05.576;0.37037
05.565;05.577;0.25
05.565;05.578;0.119048
05.565;05.579;0.077519
05.565;05.580;0.294118
05.565;05.581;0.4
05.565;05.582;0.031546
05.565;05.583;0.4
05.565;05.584;0.15873
05.565;05.585;0.007452
05.565;05.586;0.09901
05.565;05.587;0.204082
05.565;05.588;0.588235
05.565;05.589;0.049505
05.565;05.590;0.011364
05.565;05.591;0.032787
05.565;05.592;0.5
05.565;05.593;0.114943
05.565;05.594;0.4
05.565;05.595;0.008834
05.565;05.596;0.019763
05.565;05.597;0.16129
05.565;05.598;0.196078
05.565;05.599;0.232558
05.565;05.600;0.232558
05.565;05.601;0.204082
05.565;05.604;0.147059
05.565;05.607;0.30303
05.565;05.611;0.018519
05.565;05.613;0.056497
05.565;05.614;0.013736
05.565;05.615;0.008278
05.565;05.616;0.333333
05.565;22.400;0.092593
05.566;05.554;0.006223
05.566;05.555;0.012392
05.566;05.556;0.014749
05.566;05.557;0.008576
05.566;05.558;0.015649
05.566;05.559;0.02008
05.566;05.560;0.01004
05.566;05.561;0.041494
05.566;05.562;0.015015
05.566;05.563;0.227273
05.566;05.564;0.2
05.566;05.565;0.125
05.566;05.566;0
05.566;05.567;0.010235
05.566;05.568;0.014472
05.566;05.569;0.011834
05.566;05.570;0.022831
05.566;05.571;0.016051
05.566;05.572;0.016447
05.566;05.573;0.014815
05.566;05.574;0.059524
05.566;05.575;0.019048
05.566;05.576;0.232558
05.566;05.577;0.15625
05.566;05.578;0.09434
05.566;05.579;0.053476
05.566;05.580;0.175439
05.566;05.581;0.232558
05.566;05.582;0.014993
05.566;05.583;0.212766
05.566;05.584;0.090909
05.566;05.585;0.015601
05.566;05.586;0.054348
05.566;05.587;0.166667
05.566;05.588;0.526316
05.566;05.589;0.03012
05.566;05.590;0.017452
05.566;05.591;0.036765
05.566;05.592;0.588235
05.566;05.593;0.053476
05.566;05.594;0.27027
05.566;05.595;0.029499
05.566;05.596;0.041152
05.566;05.597;0.1
05.566;05.598;0.15625
05.566;05.599;0.147059
05.566;05.600;0.144928
05.566;05.601;0.133333
05.566;05.604;0.093458
05.566;05.607;0.151515
05.566;05.611;0.013477
05.566;05.613;0.03268
05.566;05.614;0.095238
05.566;05.615;0.020325
05.566;05.616;0.227273
05.566;22.400;0.37037
05.567;05.554;0.075758
05.567;05.555;0.322581
05.567;05.556;0.416667
05.567;05.557;0.031447
05.567;05.558;0.285714
05.567;05.559;0.125
05.567;05.560;0.007564
05.567;05.561;0.088496
05.567;05.562;0.208333
05.567;05.563;0.416667
05.567;05.564;0.045249
05.567;05.565;0.00811
05.567;05.566;0.02809
05.567;05.567;0
05.567;05.568;0.014684
05.567;05.569;0.013532
05.567;05.570;0.015038
05.567;05.571;0.015432
05.567;05.572;0.007974
05.567;05.573;0.012658
05.567;05.574;0.016313
05.567;05.575;0.007452
05.567;05.576;0.243902
05.567;05.577;0.172414
05.567;05.578;0.1
05.567;05.579;0.060976
05.567;05.580;0.208333
05.567;05.581;0.25641
05.567;05.582;0.017986
05.567;05.583;0.208333
05.567;05.584;0.091743
