subject_code_1;subject_code_2;n_cooc;difficulty_score_both
05.559;05.599;60;0
05.559;05.600;66;0.045455
05.559;05.601;41;0
05.559;05.604;84;0.011905
05.559;05.607;62;0.032258
05.559;05.611;392;0.028061
05.559;05.613;150;0.033333
05.559;05.614;320;0.134375
05.559;05.615;513;0
05.559;05.616;144;0
05.559;22.400;41;0.073171
05.560;05.554;2075;0.261687
05.560;05.555;648;0.058642
05.560;05.556;774;0.001292
05.560;05.557;732;0.02459
05.560;05.558;451;0.002217
05.560;05.559;1056;0.017045
05.560;05.560;0;0
05.560;05.561;524;0.007634
05.560;05.562;481;0.045738
05.560;05.563;303;0.026403
05.560;05.564;510;0.011765
05.560;05.565;453;0.02649
05.560;05.566;379;0.015831
05.560;05.567;525;0.00381
05.560;05.568;449;0.017817
05.560;05.569;398;0.015075
05.560;05.570;384;0.054688
05.560;05.571;446;0.022422
05.560;05.572;347;0.005764
05.560;05.573;425;0.016471
05.560;05.574;184;0
05.560;05.575;335;0.008955
05.560;05.576;55;0.036364
05.560;05.577;34;0.029412
05.560;05.578;42;0.02381
05.560;05.579;83;0
05.560;05.580;56;0
05.560;05.581;47;0
05.560;05.582;285;0.014035
05.560;05.583;61;0.016393
05.560;05.584;109;0
05.560;05.585;471;0.019108
05.560;05.586;138;0.036232
05.560;05.587;77;0
05.560;05.588;54;0
05.560;05.589;252;0.015873
05.560;05.590;455;0.006593
05.560;05.591;190;0
05.560;05.592;24;0
05.560;05.593;130;0.007692
05.560;05.594;32;0.03125
05.560;05.595;440;0.006818
05.560;05.596;204;0.014706
05.560;05.597;103;0.019417
05.560;05.598;75;0.026667
05.560;05.599;84;0.011905
05.560;05.600;80;0.0125
05.560;05.601;51;0.019608
05.560;05.604;99;0.020202
05.560;05.607;72;0
05.560;05.611;444;0
05.560;05.613;138;0.007246
05.560;05.614;107;0.028037
05.560;05.615;416;0
05.560;05.616;269;0.033457
05.560;22.400;39;0.076923
05.561;05.554;37;0
05.561;05.555;63;0
05.561;05.556;105;0
05.561;05.557;172;0
05.561;05.558;41;0
05.561;05.559;21;0
05.561;05.560;317;0.015773
05.561;05.561;0;0
05.561;05.562;1465;0.048464
05.561;05.563;1105;0.076923
05.561;05.564;1443;0.003465
05.561;05.565;1959;0.051046
05.561;05.566;595;0.008403
05.561;05.567;2072;0.001931
05.561;05.568;611;0.032733
05.561;05.569;486;0.010288
05.561;05.570;1394;0.092539
05.561;05.571;586;0.022184
05.561;05.572;867;0.001153
05.561;05.573;563;0.012433
05.561;05.574;572;0
05.561;05.575;1141;0.005259
05.561;05.576;31;0
05.561;05.577;38;0.026316
05.561;05.578;54;0.018519
05.561;05.579;99;0
05.561;05.580;32;0
05.561;05.581;20;0
05.561;05.582;297;0.013468
05.561;05.583;26;0
05.561;05.584;69;0.028986
05.561;05.585;1588;0.001259
05.561;05.586;106;0.018868
05.561;05.587;52;0
05.561;05.588;26;0
05.561;05.589;228;0.030702
05.561;05.590;1049;0.012393
05.561;05.591;761;0.001314
05.561;05.592;16;0
05.561;05.593;88;0.011364
05.561;05.594;21;0
05.561;05.595;1640;0.00122
05.561;05.596;584;0.001712
05.561;05.597;63;0
05.561;05.598;57;0
05.561;05.599;48;0
05.561;05.600;53;0.018868
05.561;05.601;38;0.026316
05.561;05.604;74;0.027027
05.561;05.607;46;0
05.561;05.611;600;0.021667
05.561;05.613;152;0.019737
05.561;05.614;368;0.0625
05.561;05.615;1981;0
05.561;05.616;38;0
05.561;22.400;70;0.1
05.562;05.554;30;0
05.562;05.555;75;0
05.562;05.556;1568;0.003827
05.562;05.557;106;0.018868
05.562;05.558;42;0
05.562;05.559;30;0
05.562;05.560;224;0.004464
05.562;05.561;1100;0.025455
05.562;05.562;0;0
05.562;05.563;1386;0.166667
05.562;05.564;866;0.042725
05.562;05.565;1305;0.156322
05.562;05.566;516;0.046512
05.562;05.567;908;0.019824
05.562;05.568;924;0.102814
05.562;05.569;713;0.098177
05.562;05.570;2079;0.328042
05.562;05.571;748;0.15107
05.562;05.572;495;0.016162
05.562;05.573;571;0.077058
05.562;05.574;222;0
05.562;05.575;604;0.046358
05.562;05.576;27;0.074074
05.562;05.577;58;0
05.562;05.578;106;0.018868
05.562;05.579;151;0
05.562;05.580;38;0.052632
05.562;05.581;23;0.043478
05.562;05.582;304;0.0625
05.562;05.583;25;0.12
05.562;05.584;64;0.0625
05.562;05.585;747;0.03079
05.562;05.586;98;0.112245
05.562;05.587;23;0.086957
05.562;05.588;27;0
05.562;05.589;212;0.075472
05.562;05.590;1055;0.088152
05.562;05.591;367;0.002725
05.562;05.592;17;0.058824
05.562;05.593;107;0.037383
05.562;05.594;36;0.055556
05.562;05.595;658;0.00304
05.562;05.596;285;0.007018
05.562;05.597;55;0
05.562;05.598;50;0
05.562;05.599;48;0.020833
05.562;05.600;48;0.041667
05.562;05.601;52;0.019231
05.562;05.604;67;0.014925
05.562;05.607;50;0.02
05.562;05.611;814;0.088452
05.562;05.613;200;0.02
05.562;05.614;767;0.157757
05.562;05.615;760;0
05.562;05.616;33;0
05.562;22.400;68;0.205882
05.563;05.554;654;0
05.563;05.555;16;0
05.563;05.556;105;0.028571
05.563;05.557;32;0
05.563;05.558;1382;0.000724
05.563;05.559;596;0.001678
05.563;05.560;63;0
05.563;05.561;49;0
05.563;05.562;52;0
05.563;05.563;0;0
05.563;05.564;526;0.057034
05.563;05.565;2336;0.18964
05.563;05.566;312;0.076923
05.563;05.567;508;0.017717
05.563;05.568;423;0.080378
05.563;05.569;358;0.089385
05.563;05.570;2358;0.187023
05.563;05.571;525;0.108571
05.563;05.572;311;0.03537
05.563;05.573;491;0.095723
05.563;05.574;130;0
05.563;05.575;417;0.055156
05.563;05.576;16;0.0625
05.563;05.577;17;0
05.563;05.578;27;0
05.563;05.579;50;0
05.563;05.580;21;0
05.563;05.581;11;0
05.563;05.582;211;0.080569
05.563;05.583;8;0
05.563;05.584;41;0.073171
05.563;05.585;480;0.0375
05.563;05.586;54;0.018519
05.563;05.587;21;0.095238
05.563;05.588;16;0
05.563;05.589;143;0.041958
05.563;05.590;682;0.073314
05.563;05.591;186;0.005376
05.563;05.592;3;0.035088
05.563;05.593;60;0.033333
05.563;05.594;10;0
05.563;05.595;372;0.002688
05.563;05.596;169;0.011834
05.563;05.597;35;0
05.563;05.598;24;0.041667
05.563;05.599;20;0
05.563;05.600;27;0
05.563;05.601;23;0.043478
05.563;05.604;40;0.05
05.563;05.607;23;0.043478
05.563;05.611;330;0.081818
05.563;05.613;83;0.036145
05.563;05.614;1438;0.118915
05.563;05.615;390;0
05.563;05.616;20;0
05.563;22.400;148;0.135135
05.564;05.554;50;0.014706
05.564;05.555;57;0
05.564;05.556;68;0.056235
05.564;05.557;46;0
05.564;05.558;818;0.168553
05.564;05.559;214;0
05.564;05.560;795;0
05.564;05.561;1719;0.106383
05.564;05.562;37;0.050777
05.564;05.563;47;0.087928
05.564;05.564;0;0
05.564;05.565;1395;0.022939
05.564;05.566;835;0.050299
05.564;05.567;1622;0.01418
05.564;05.568;672;0.026786
05.564;05.569;946;0.072939
05.564;05.570;661;0.069592
05.564;05.571;585;0.049573
05.564;05.572;516;0.027132
05.564;05.573;926;0.066955
05.564;05.574;213;0.004695
05.564;05.575;687;0.034934
05.564;05.576;45;0.044444
05.564;05.577;49;0.040816
05.564;05.578;84;0.02381
05.564;05.579;154;0.006494
05.564;05.580;46;0.043478
05.564;05.581;24;0.041667
05.564;05.582;471;0.050955
05.564;05.583;29;0
05.564;05.584;87;0.034483
05.564;05.585;1499;0.028019
05.564;05.586;144;0.041667
05.564;05.587;47;0.042553
05.564;05.588;26;0
05.564;05.589;242;0.016529
05.564;05.590;1192;0.028523
05.564;05.591;290;0.003448
05.564;05.592;16;0
05.564;05.593;143;0
05.564;05.594;35;0
05.564;05.595;1103;0
05.564;05.596;639;0.001565
05.564;05.597;88;0.011364
05.564;05.598;58;0
05.564;05.599;52;0.019231
05.564;05.600;64;0.015625
05.564;05.601;52;0.019231
05.564;05.604;79;0.012658
05.564;05.607;54;0.055556
05.564;05.611;603;0.031509
05.564;05.613;186;0.021505
05.564;05.614;161;0.043478
05.564;05.615;1272;0
05.564;05.616;53;0.037736
05.564;22.400;24;0
05.565;05.554;965;0.053286
05.565;05.555;1342;0.041223
05.565;05.556;1126;0.022181
05.565;05.557;752;0.009865
05.565;05.558;541;0.172549
05.565;05.559;1926;0.080292
05.565;05.560;1530;0.039571
05.565;05.561;685;0.054472
05.565;05.562;1491;0.044577
05.565;05.563;1744;0.015557
05.565;05.564;673;0.069393
05.565;05.565;0;0
05.565;05.566;568;0.02993
05.565;05.567;1456;0.01511
05.565;05.568;632;0.050633
05.565;05.569;522;0.045977
05.565;05.570;1868;0.251071
05.565;05.571;528;0.070076
05.565;05.572;462;0.004329
05.565;05.573;722;0.059557
05.565;05.574;241;0
05.565;05.575;578;0.020761
05.565;05.576;27;0.111111
05.565;05.577;40;0.025
05.565;05.578;84;0.02381
05.565;05.579;129;0.015504
05.565;05.580;34;0
05.565;05.581;25;0
05.565;05.582;317;0.056782
05.565;05.583;25;0.04
05.565;05.584;63;0.015873
05.565;05.585;1342;0.008942
05.565;05.586;101;0.029703
05.565;05.587;49;0.020408
05.565;05.588;17;0
05.565;05.589;202;0.029703
05.565;05.590;880;0.028409
05.565;05.591;305;0.006557
05.565;05.592;20;0.2
05.565;05.593;87;0.011494
05.565;05.594;25;0
05.565;05.595;1132;0.000883
05.565;05.596;506;0.001976
05.565;05.597;62;0
05.565;05.598;51;0
05.565;05.599;43;0.046512
05.565;05.600;43;0.023256
05.565;05.601;49;0.061224
05.565;05.604;68;0
05.565;05.607;33;0
05.565;05.611;540;0.046296
05.565;05.613;177;0.011299
05.565;05.614;728;0.153846
05.565;05.615;1208;0
05.565;05.616;30;0
05.565;22.400;108;0.185185
05.566;05.554;1607;0.09292
05.566;05.555;807;0.197256
05.566;05.556;678;0.093897
05.566;05.557;1166;0.018072
05.566;05.558;639;0.13253
05.566;05.559;498;0.012448
05.566;05.560;996;0.040541
05.566;05.561;241;0.113636
05.566;05.562;666;0.02
05.566;05.563;44;0
05.566;05.564;50;0.007576
05.566;05.565;80;0.064516
05.566;05.566;0;0
05.566;05.567;977;0.035824
