subject_code_1;subject_code_2;n_cooc;difficulty_score_both
05.560;05.558;598;0.001672
05.560;05.559;2191;0.018257
05.560;05.560;0;0
05.560;05.561;1085;0.010138
05.560;05.562;1097;0.05196
05.560;05.563;749;0.040053
05.560;05.564;1037;0.015429
05.560;05.565;991;0.0333
05.560;05.566;891;0.012346
05.560;05.567;1050;0.005714
05.560;05.568;913;0.021906
05.560;05.569;762;0.013123
05.560;05.570;923;0.042254
05.560;05.571;800;0.02375
05.560;05.572;715;0.008392
05.560;05.573;970;0.026804
05.560;05.574;319;0.003135
05.560;05.575;733;0.006821
05.560;05.576;113;0.017699
05.560;05.577;92;0.021739
05.560;05.578;91;0.010989
05.560;05.579;208;0
05.560;05.580;84;0.035714
05.560;05.581;78;0
05.560;05.582;473;0.012685
05.560;05.583;86;0.011628
05.560;05.584;179;0
05.560;05.585;758;0.023747
05.560;05.586;208;0.024038
05.560;05.587;126;0.015873
05.560;05.588;143;0
05.560;05.589;423;0.026005
05.560;05.590;812;0.008621
05.560;05.591;401;0.002494
05.560;05.592;51;0
05.560;05.593;191;0.015707
05.560;05.594;61;0.098361
05.560;05.595;516;0.00969
05.560;05.596;318;0.012579
05.560;05.597;184;0.016304
05.560;05.598;186;0.010753
05.560;05.599;139;0.007194
05.560;05.600;121;0.008264
05.560;05.601;102;0.009804
05.560;05.604;141;0.021277
05.560;05.607;107;0.028037
05.560;05.611;892;0.005605
05.560;05.613;337;0.002967
05.560;05.614;313;0.038339
05.560;05.615;728;0
05.560;05.616;376;0.023936
05.560;22.400;39;0.076923
05.561;05.554;103;0
05.561;05.555;163;0
05.561;05.556;233;0
05.561;05.557;422;0
05.561;05.558;74;0
05.561;05.559;54;0
05.561;05.560;581;0.022375
05.561;05.561;0;0
05.561;05.562;3482;0.097071
05.561;05.563;1920;0.078125
05.561;05.564;2438;0.009024
05.561;05.565;2928;0.047814
05.561;05.566;1669;0.008388
05.561;05.567;3493;0.004581
05.561;05.568;1187;0.032013
05.561;05.569;922;0.009761
05.561;05.570;2436;0.088259
05.561;05.571;967;0.042399
05.561;05.572;1470;0.008163
05.561;05.573;1283;0.0265
05.561;05.574;713;0
05.561;05.575;2209;0.011317
05.561;05.576;86;0
05.561;05.577;109;0.009174
05.561;05.578;126;0.007937
05.561;05.579;266;0.011278
05.561;05.580;64;0.078125
05.561;05.581;48;0.0625
05.561;05.582;497;0.030181
05.561;05.583;49;0
05.561;05.584;139;0.021583
05.561;05.585;1944;0.00463
05.561;05.586;176;0.051136
05.561;05.587;88;0.045455
05.561;05.588;131;0.007634
05.561;05.589;369;0.02981
05.561;05.590;1685;0.018991
05.561;05.591;1332;0.001502
05.561;05.592;42;0
05.561;05.593;132;0.030303
05.561;05.594;45;0.022222
05.561;05.595;1789;0.002236
05.561;05.596;843;0.001186
05.561;05.597;117;0
05.561;05.598;178;0
05.561;05.599;88;0
05.561;05.600;106;0.009434
05.561;05.601;91;0.065934
05.561;05.604;115;0.026087
05.561;05.607;79;0.012658
05.561;05.611;1207;0.029826
05.561;05.613;422;0.011848
05.561;05.614;884;0.091629
05.561;05.615;3154;0
05.561;05.616;76;0
05.561;22.400;70;0.1
05.562;05.554;65;0.015385
05.562;05.555;136;0
05.562;05.556;2048;0.009277
05.562;05.557;179;0.011173
05.562;05.558;82;0.012195
05.562;05.559;129;0
05.562;05.560;397;0.002519
05.562;05.561;1727;0.019108
05.562;05.562;0;0
05.562;05.563;2500;0.1928
05.562;05.564;1592;0.050251
05.562;05.565;2426;0.153751
05.562;05.566;1288;0.040373
05.562;05.567;1785;0.020168
05.562;05.568;1789;0.107881
