subject_code_1;subject_code_2;n_cooc;difficulty_score_any
05.563;05.555;49;0.040816
05.563;05.556;168;0.089286
05.563;05.557;58;0.086207
05.563;05.558;1522;0.02431
05.563;05.559;880;0.023864
05.563;05.560;130;0.038462
05.563;05.561;166;0.054217
05.563;05.562;97;0.051546
05.563;05.563;0;0
05.563;05.564;1194;0.200168
05.563;05.565;3721;0.319807
05.563;05.566;837;0.187575
05.563;05.567;1066;0.160413
05.563;05.568;876;0.190639
05.563;05.569;722;0.211911
05.563;05.570;3493;0.422846
05.563;05.571;1028;0.252918
05.563;05.572;667;0.137931
05.563;05.573;1387;0.325883
05.563;05.574;230;0.073913
05.563;05.575;905;0.149171
05.563;05.576;52;0.25
05.563;05.577;69;0.115942
05.563;05.578;90;0.188889
05.563;05.579;187;0.080214
05.563;05.580;46;0.173913
05.563;05.581;39;0.230769
05.563;05.582;472;0.254237
05.563;05.583;33;0.181818
05.563;05.584;90;0.133333
05.563;05.585;831;0.202166
05.563;05.586;106;0.207547
05.563;05.587;51;0.176471
05.563;05.588;90;0.011111
05.563;05.589;312;0.208333
05.563;05.590;1136;0.183099
05.563;05.591;406;0.093596
05.563;05.592;21;0.047619
05.563;05.593;131;0.145038
05.563;05.594;38;0.289474
05.563;05.595;458;0.124454
05.563;05.596;281;0.135231
05.563;05.597;78;0.064103
05.563;05.598;117;0.034188
05.563;05.599;45;0.044444
05.563;05.600;67;0.059701
05.563;05.601;63;0.190476
05.563;05.604;80;0.175
05.563;05.607;47;0.191489
05.563;05.611;767;0.187744
05.563;05.613;312;0.096154
05.563;05.614;2079;0.243867
05.563;05.615;679;0.123711
05.563;05.616;55;0.072727
05.563;22.400;148;0.243243
05.564;05.554;103;0.097087
05.564;05.555;113;0.123894
05.564;05.556;110;0.136364
05.564;05.557;82;0.085366
05.564;05.558;1706;0.148886
05.564;05.559;618;0.017799
05.564;05.560;1585;0.403155
05.564;05.561;2841;0.008448
05.564;05.562;78;0.102564
05.564;05.563;47;0.191489
05.564;05.564;0;0
05.564;05.565;2384;0.066695
05.564;05.566;1949;0.142124
05.564;05.567;2748;0.048763
05.564;05.568;1287;0.146853
05.564;05.569;1574;0.198856
05.564;05.570;1389;0.272138
05.564;05.571;1075;0.167442
05.564;05.572;996;0.095382
05.564;05.573;1741;0.225158
05.564;05.574;352;0.03125
05.564;05.575;1497;0.086172
05.564;05.576;93;0.193548
05.564;05.577;123;0.073171
05.564;05.578;164;0.073171
05.564;05.579;368;0.038043
05.564;05.580;77;0.103896
05.564;05.581;55;0.218182
05.564;05.582;759;0.176548
05.564;05.583;59;0.186441
05.564;05.584;157;0.101911
05.564;05.585;2023;0.087988
05.564;05.586;214;0.168224
05.564;05.587;77;0.168831
05.564;05.588;119;0.008403
05.564;05.589;401;0.147132
05.564;05.590;2026;0.103159
05.564;05.591;562;0.065836
05.564;05.592;47;0.085106
05.564;05.593;219;0.109589
05.564;05.594;57;0.157895
05.564;05.595;1184;0.027027
