subject_code_1;subject_code_2;overlap_data
05.560;05.555;0.51938
05.560;05.556;0.286822
05.560;05.557;0.496124
05.560;05.558;0.565891
05.560;05.559;0.503876
05.560;05.560;0
05.560;05.561;0.751938
05.560;05.562;0.534884
05.560;05.563;0.627907
05.560;05.564;0.728682
05.560;05.565;0.48062
05.560;05.566;0.674419
05.560;05.567;0.666667
05.560;05.568;0.341085
05.560;05.569;0.565891
05.560;05.570;0.697674
05.560;05.571;0.635659
05.560;05.572;0
05.560;05.573;0.527132
05.560;05.574;0.527132
05.560;05.575;0.651163
05.560;05.576;0
05.560;05.577;0.72093
05.560;05.578;0.705426
05.560;05.579;0.565891
05.560;05.580;0.503876
05.560;05.581;0.565891
05.560;05.582;0.496124
05.560;05.583;0
05.560;05.584;0.589147
05.560;05.585;0.449612
05.560;05.586;0.689922
05.560;05.587;0.426357
05.560;05.588;0.751938
05.560;05.589;0.728682
05.560;05.590;0.751938
05.560;05.591;0
05.560;05.592;0.410853
05.560;05.593;0.705426
05.560;05.594;0
05.560;05.595;0.751938
05.560;05.596;0.728682
05.560;05.597;0.488372
05.560;05.598;0.364341
05.560;05.599;0.565891
05.560;05.600;0.728682
05.560;05.601;0
05.560;05.604;0.751938
05.560;05.607;0.682171
05.560;05.611;0.744186
05.560;05.613;0.751938
05.560;05.614;0.565891
05.560;05.615;0.565891
05.560;05.616;0.751938
05.560;22.400;0.751938
05.561;05.554;0.565891
05.561;05.555;0
05.561;05.556;0
05.561;05.557;0.565891
05.561;05.558;0
05.561;05.559;0.565891
05.561;05.560;0.542636
05.561;05.561;0
05.561;05.562;0.565891
05.561;05.563;0.728682
05.561;05.564;0.891473
05.561;05.565;0.015504
05.561;05.566;0.697674
05.561;05.567;0.682171
05.561;05.568;0.364341
05.561;05.569;0.565891
05.561;05.570;0.705426
05.561;05.571;0.689922
05.561;05.572;0
05.561;05.573;0.527132
05.561;05.574;0
05.561;05.575;0.651163
05.561;05.576;0.565891
05.561;05.577;0.72093
05.561;05.578;0.713178
05.561;05.579;0
05.561;05.580;0.503876
05.561;05.581;0.565891
05.561;05.582;0.496124
05.561;05.583;0.527132
05.561;05.584;0.705426
05.561;05.585;0.550388
05.561;05.586;0.75969
05.561;05.587;0.565891
05.561;05.588;0.875969
05.561;05.589;0.767442
05.561;05.590;0.899225
05.561;05.591;0.565891
05.561;05.592;0
05.561;05.593;0.782946
05.561;05.594;0
05.561;05.595;0.899225
05.561;05.596;0.751938
05.561;05.597;0.565891
05.561;05.598;0.565891
05.561;05.599;0
05.561;05.600;0.790698
05.561;05.601;0.643411
05.561;05.604;0.813953
05.561;05.607;0.79845
05.561;05.611;0.75969
05.561;05.613;0.906977
05.561;05.614;0.542636
05.561;05.615;0.643411
05.561;05.616;0.914729
05.561;22.400;0.868217
05.562;05.554;0.643411
05.562;05.555;0.465116
05.562;05.556;0.51938
05.562;05.557;0.620155
05.562;05.558;0
05.562;05.559;0.643411
05.562;05.560;0.573643
05.562;05.561;0.286822
05.562;05.562;0
05.562;05.563;0.542636
05.562;05.564;0.550388
05.562;05.565;0.589147
05.562;05.566;0.465116
05.562;05.567;0.465116
05.562;05.568;0.224806
05.562;05.569;0.488372
05.562;05.570;0.542636
05.562;05.571;0.426357
05.562;05.572;0.550388
05.562;05.573;0.44186
05.562;05.574;0
05.562;05.575;0.465116
05.562;05.576;0.496124
05.562;05.577;0.51938
05.562;05.578;0.488372
05.562;05.579;0
05.562;05.580;0.364341
05.562;05.581;0.643411
05.562;05.582;0.317829
05.562;05.583;0
05.562;05.584;0.395349
05.562;05.585;0.286822
05.562;05.586;0.472868
05.562;05.587;0.627907
05.562;05.588;0.542636
05.562;05.589;0.511628
05.562;05.590;0.565891
05.562;05.591;0.643411
05.562;05.592;0
05.562;05.593;0.488372
05.562;05.594;0.503876
05.562;05.595;0.565891
05.562;05.596;0.511628
05.562;05.597;0
05.562;05.598;0.449612
05.562;05.599;0
05.562;05.600;0.511628
05.562;05.601;0.527132
